board;x_value_1;x_value_2;x_value_3;x_value_4;x_value_5;x_value_6;x_value_7;x_value_8;x_value_9;o_value_1;o_value_2;o_value_3;o_value_4;o_value_5;o_value_6;o_value_7;o_value_8;o_value_9
[0, 0, 0, 0, 0, 0, 0, 0, 0];0.233222161;-0.210438242;0.777428333;-0.102217886;0.907229926;0.437206761;0.088643638;0.149417827;0.629320499;-1.11728466;-1.248371049;-1.187855089;-1.242035481;-1.174740016;-1.150987984;-0.948561977;-1.249959467;-1.038368192
[0, 0, 0, 0, 0, 0, 0, 0, 1];0.22931203;0.346671416;0.78151633;0.534824527;0.321946909;0.233454495;0.437645669;0.482017404;0;0.276661632;0.347259566;0.180205932;0.331426725;-1.059415921;0.383252354;0.228832767;1.009982946;0
[0, 0, 0, 0, 0, 0, 0, 1, 0];0.379851186;0.277724082;0.232931842;0.126034943;-0.037292073;0.470392055;0.396705302;0;0.211589416;0.192141811;0.273494572;0.284521709;0.28988291;-1.249970891;0.993873709;0.206262237;0;0.171107654
[0, 0, 0, 0, 0, 0, 1, 0, 0];-0.22851766;0.394894033;0.559743284;0.627912093;-0.207551951;0.341766314;0;0.534029165;-0.11517;0.15965443;0.368437381;0.405516118;1.00998589;-0.974076971;0.416747283;0;0.478103728;0.200789441
[0, 0, 0, 0, 0, 1, 0, 0, 0];-0.067571363;0.265749096;0.160340228;0.464670801;-0.077534129;0;0.583492143;0.531466393;-0.187314596;0.093959743;0.278289173;0.226850266;0.97671447;-1.170831846;0;0.191937914;0.297815456;0.078235389
[0, 0, 0, 0, 1, 0, 0, 0, 0];0.590611055;0.882077029;0.760379128;0.688864254;0;0.721524474;0.472010234;0.220659983;0.683974208;-1.193058332;0.999798079;0.400204321;0.534958566;0;0.554609611;0.521716058;0.534556254;0.459724118
[0, 0, 0, 1, 0, 0, 0, 0, 0];-0.078846974;0.633364007;0.639019215;0;0.011371718;0.383896945;0.225322294;0.639718236;-0.097544705;0.089773622;0.353151868;0.264942005;0;-1.245878021;0.970752254;0.248793258;0.298575497;0.177377175
[0, 0, 1, 0, 0, 0, 0, 0, 0];0.180248937;0.475073358;0;0.530412432;0.239661217;0.875187838;0.682319639;0.746707271;0.112385976;0.164379349;0.517484264;0;1.009984451;-1.203982436;0.45358218;0.349934248;0.537535167;0.326737777
[0, 1, 0, 0, 0, 0, 0, 0, 0];0.508133873;0;0.029786142;0.196653621;0.024202017;-0.116219019;-0.329096502;0.482729504;0.223747334;0.222516707;0;0.108209246;0.17437738;-1.249191055;1.009028147;0.124651981;0.322954633;0.14502947
[1, 0, 0, 0, 0, 0, 0, 0, 0];0;0.326540706;0.648293298;0.776012488;0.20256065;0.133995033;0.378672219;0.530075888;0.35365204;0;1.009980546;0.273903632;0.386270229;-1.14054181;0.317111878;0.268667116;0.440114594;0.293862908
[0, 0, 0, 0, 0, 0, 0, 1, -1];0.533005782;0.134564561;0.311402991;0.485186925;0.48039434;0.117751935;0.061161892;0;0;0.204866622;-0.053850317;0.162930743;0.133073527;0.520577962;0.135628452;0.016559821;0;0
[0, 0, 0, 0, 0, 0, 0, -1, 1];-0.12518713;0.584947443;1.083242414;0.678176917;0.818669947;0.862745235;0.526421282;0;0;0.998294616;1.003164839;1.002916342;0.999554669;1.004174948;1.001010818;0.998756232;0;0
[0, 0, 0, 0, 0, 0, 1, 0, -1];0.398516029;-0.069111416;0.245003854;0.617869157;0.410239575;0.330821522;0;-0.325129809;0;0.419189114;0.089520037;0.436417339;0.222537651;0.512220848;0.214800342;0;-0.107889592;0
[0, 0, 0, 0, 0, 0, -1, 0, 1];0.568011296;0.526279612;0.573874453;0.405392981;0.71877766;0.719744096;0;-0.143273144;0;0.462857686;0.112622806;0.393417193;0.142947669;0.485140615;0.223512164;0;-0.087628387;0
[0, 0, 0, 0, 0, 0, 1, -1, 0];0.933840953;0.807703254;0.343021671;0.666606235;0.846424498;0.472443895;0;0;0.184915854;0.63863446;0.472495789;0.550457584;0.398064308;0.768215706;0.21667199;0;0;0.264553202
[0, 0, 0, 0, 0, 0, -1, 1, 0];0.588936201;0.342524161;0.416842723;0.002000937;0.913731374;0.532978042;0;0;-0.152536564;0.204209052;0.062018224;0.273137505;0.112217125;0.596834243;0.047184014;0;0;0.025895138
[0, 0, 0, 0, 0, 1, 0, 0, -1];0.337241468;0.033921253;-0.17674879;-0.030178682;1.048507865;0;0.005006548;0.222067876;0;0.172904618;-0.038653411;-0.083814002;0.081281258;0.502193758;0;0.289491076;0.050136436;0
[0, 0, 0, 0, 0, -1, 0, 0, 1];0.552074798;0.395933944;0.077348213;0.805199386;0.779955221;0;0.615822541;0.215801789;0;0.468285055;0.282578206;0.156401262;0.495052191;0.801117187;0;0.550973165;0.32420727;0
[0, 0, 0, 0, 0, 1, 0, -1, 0];0.477934098;0.35164337;0.022342331;-0.085855134;0.744757691;0;0.315366796;0;0.811907185;0.181033135;0.240001267;0.301010727;0.084663245;0.687753885;0;0.307548895;0;0.410988395
[0, 0, 0, 0, 0, -1, 0, 1, 0];0.318495295;0.201350261;0.332328982;0.512243375;0.738478351;0;0.49297118;0;0.738487599;0.997720228;0.996895327;0.999676676;0.935515069;1.00228588;0;0.998309189;0;1.000527611
[0, 0, 0, 0, 0, 1, -1, 0, 0];0.450905356;-0.04092196;0.574955678;0.224372819;0.281328034;0;0;0.286391825;0.386531207;0.123571337;-0.104037735;0.277724542;0.027743411;0.352427141;0;0;0.08601444;0.209611732
[0, 0, 0, 0, 0, -1, 1, 0, 0];0.577472079;0.508926556;0.573675852;0.544455988;0.803397791;0;0;0.608677745;0.763811414;0.298707927;0.142583918;0.408140219;0.472003627;0.552191449;0;0;0.323720516;0.649397548
[0, 0, 0, 0, 1, 0, 0, 0, -1];0.391729013;0.310047808;0.516695178;0.231657777;0;0.882514838;0.512601769;0.422125943;0;0.035710081;0.308510537;0.560893005;0.408660573;0;0.571342535;0.469064808;0.506939158;0
[0, 0, 0, 0, -1, 0, 0, 0, 1];-0.052408806;0.404905494;0.495931696;0.082285036;0;0.302261924;0.378677044;0.224513317;0;-1.194384076;-1.247955296;-1.218739039;-1.044091151;0;-1.141635162;-1.120891094;-0.821154227;0
[0, 0, 0, 0, 1, 0, 0, -1, 0];0.367137415;0.274135721;0.76518908;0.680426096;0;0.261177293;0.719423584;0;0.522452629;0.537364028;0.309103219;0.540473679;0.561886245;0;0.53880315;0.758880085;0;0.698551049
[0, 0, 0, 0, -1, 0, 0, 1, 0];0.020953353;-0.527157092;0.309529932;-0.094190476;0;-0.289825909;0.27338878;0;0.601081414;-1.17216681;-1.24992;-1.2401318;-1.240071742;0;-1.232968332;-1.12126757;0;-1.229206332
[0, 0, 0, 0, 1, 0, -1, 0, 0];0.388900637;0.434930129;0.388786267;0.914154273;0;0.104253039;0;0.718242439;0.722143813;0.514415853;0.559048764;0.155765053;0.462725426;0;0.478601312;0;0.439455407;0.557526728
[0, 0, 0, 0, -1, 0, 1, 0, 0];0.207737044;-0.158875209;-0.39633702;-0.393911887;0;0.093120608;0;0.236259646;0.758916817;-0.971636787;-0.945230998;-1.221815932;-1.229612228;0;-1.201389185;0;-1.076525814;-1.241774576
[0, 0, 0, 0, 1, -1, 0, 0, 0];0.230565678;0.82657114;0.710571333;0.462776556;0;0;0.458057327;0.85381944;0.553334982;0.586975821;0.544241823;0.71389414;0.327652695;0;0;0.582114813;0.492530297;0.661695056
[0, 0, 0, 0, -1, 1, 0, 0, 0];0.063243141;-0.091710669;0.540872051;-0.575709649;0;0;0.516429911;0.532589779;-0.409808171;-1.041667687;-1.24799178;-1.093189605;-1.24992;0;0;-1.029899295;-1.156146946;-1.12789222
[0, 0, 0, 1, 0, 0, 0, 0, -1];0.453487263;-0.257203205;0.091599969;0;0.651445465;-0.247422114;-0.078851009;0.150711817;0;0.220098142;-0.153707687;0.119033186;0;0.200452625;0.253884432;0.389544015;0.003747836;0
[0, 0, 0, -1, 0, 0, 0, 0, 1];0.81219583;-0.0390719;0.783399132;0;0.710562461;0.561725168;0.615353264;0.468124775;0;0.447866518;0.2475682;0.358050937;0;0.595774336;0.467671227;0.531163751;0.336453785;0
[0, 0, 0, 1, 0, 0, 0, -1, 0];0.6812638;0.308629195;-0.160917566;0;0.557052939;0.519799733;0.439315514;0;0.392009068;0.361785135;0.305021381;0.082864668;0;0.618946767;0.156524965;0.493501782;0;0.2379123
[0, 0, 0, -1, 0, 0, 0, 1, 0];0.374280244;-0.041409975;-0.358387874;0;0.857500664;0.142696423;0.562219672;0;0.358135287;0.23239182;0.19588297;0.197079192;0;0.537412493;0.265463896;0.435144162;0;0.463996777
[0, 0, 0, 1, 0, 0, -1, 0, 0];-0.038393226;0.156271576;-0.03089956;0;0.469647983;0.806136785;0;-0.006778466;0.400910366;0.047659461;0.0485394;0.281338719;0;0.446240975;0.096963747;0;0.079147938;0.267467483
[0, 0, 0, -1, 0, 0, 1, 0, 0];0.288622922;0.56182289;0.457588791;0;1.046300917;0.339449015;0;0.465842505;0.769081311;0.998785487;0.999232998;0.998589009;0;1.004616846;1.003666559;0;1.00148111;1.001188505
[0, 0, 0, 1, 0, -1, 0, 0, 0];0.901466503;-0.356957481;0.752821818;0;0.237669811;0;0.665149166;0.037300706;0.64929549;1.001479991;0.940766028;1.003118953;0;0.932860285;0;1.002840068;0.904849224;1.003231504
[0, 0, 0, -1, 0, 1, 0, 0, 0];0.578284606;0.280977741;0.765360636;0;-0.102748865;0;0.804243937;0.127795115;0.538395301;1.003547143;0.922535796;1.001371982;0;0.924995829;0;1.003666559;0.938428507;1.002421494
[0, 0, 0, 1, -1, 0, 0, 0, 0];0.150418939;0.116755117;0.028472437;0;0;-0.148698213;-0.158689631;-0.081316778;-0.063895403;-1.227848733;-1.183020737;-1.191150122;0;0;-1.24992;-0.974424228;-1.125014706;-0.986959107
[0, 0, 0, -1, 1, 0, 0, 0, 0];0.840782545;0.663757873;0.605988422;0;0;0.762913174;0.684816826;0.755990497;0.391750898;0.714811162;0.461978908;0.492101762;0;0;0.315110303;0.719584593;0.606003193;0.613963404
[0, 0, 1, 0, 0, 0, 0, 0, -1];0.257207808;0.620477378;0;0.253984245;0.976367882;0.130004854;0.594559526;0.105635761;0;0.50738065;0.186666562;0;0.08730861;0.487669301;-0.03720457;0.37730458;0.308558779;0
[0, 0, -1, 0, 0, 0, 0, 0, 1];0.860207169;0.396182285;0;0.616982264;0.683403639;0.256792238;0.616300621;0.599156046;0;0.423883277;0.249273303;0;0.194283455;0.524565831;-0.011177733;0.481343343;0.166371136;0
[0, 0, 1, 0, 0, 0, 0, -1, 0];0.805804975;0.227893935;0;0.544358257;0.632148537;0.642391447;0.731006579;0;0.775952388;0.418295412;0.49863988;0;0.177670703;0.564523946;0.353447484;0.456212744;0;0.594604045
[0, 0, -1, 0, 0, 0, 0, 1, 0];0.017324122;0.090265048;0;0.35980773;0.32669196;-0.101881493;0.461314806;0;0.190613883;0.16486246;0.186305387;0;0.003000241;0.377066699;0.114529922;0.072430864;0;0.138075051
[0, 0, 1, 0, 0, 0, -1, 0, 0];1.001591257;0.451743889;0;0.54644067;0.172172052;0.095507405;0;0.488641861;0.857748611;0.538427741;0.156672712;0;0.128182866;0.268814439;0.213496344;0;0.249513526;0.488210732
[0, 0, -1, 0, 0, 0, 1, 0, 0];0.869975879;-0.280980988;0;0.045531434;0.423553974;0.162789067;0;-0.294513393;0.716877866;0.573105877;0.200490085;0;0.163823012;0.225869806;0.219275733;0;0.251366591;0.554245137
[0, 0, 1, 0, 0, -1, 0, 0, 0];0.6586303;0.772978654;0;0.708148787;0.91091353;0;0.239615623;0.600029824;0.462755628;0.652926944;0.367855887;0;0.48758479;0.745359186;0;0.492456921;0.278927611;0.223588897
[0, 0, -1, 0, 0, 1, 0, 0, 0];0.411541215;0.211199199;0;0.041680259;0.680347118;0;0.139814057;-0.176551859;0.292216933;0.293139707;0.092269391;0;0.18680059;0.484209098;0;0.328953386;-0.099829212;0.017981351
[0, 0, 1, 0, -1, 0, 0, 0, 0];0.342100371;0.005295858;0;-0.367304902;0;0.609128751;-0.064343686;0.117626321;0.286823811;-1.246728112;-1.242378291;0;-1.21716645;0;-1.241528917;-0.923363544;-1.046012604;-1.039340934
[0, 0, -1, 0, 1, 0, 0, 0, 0];0.794493586;0.757341658;0;0.723340637;0;0.459572628;0.226574498;0.283470297;0.775618624;0.511019215;0.435631611;0;0.304259334;0;0.438460355;0.153503973;0.368842366;0.545840377
[0, 0, 1, -1, 0, 0, 0, 0, 0];0.852501123;0.242518999;0;0;0.724937024;0.598954902;0.852493394;-0.028805561;0.81882738;1.003738987;0.998445097;0;0;1.000704431;1.001371982;0.998589009;0.998841862;1.000208591
[0, 0, -1, 1, 0, 0, 0, 0, 0];0.280579342;-0.260469575;0;0;0.784724909;0.257734861;0.106355295;0.258566853;0.371593148;0.331074251;-0.041211354;0;0;0.467521362;0.185818263;0.289955354;-0.037229667;0.040708369
[0, 1, 0, 0, 0, 0, 0, 0, -1];0.416911176;0;0.463868055;0.136181724;0.73393812;-0.10414462;0.022469362;0.130315549;0;0.134673958;0;0.339825781;-6.70E-04;0.357743871;0.00138083;0.125611608;-0.024250673;0
[0, -1, 0, 0, 0, 0, 0, 0, 1];0.080519016;0;0.015750153;0.276793495;0.909113581;-0.009821626;0.828302829;0.30302111;0;0.378780892;0;0.544385395;0.172275084;0.594702332;0.243107729;0.388308627;0.45088222;0
[0, 1, 0, 0, 0, 0, 0, -1, 0];0.416321989;0;0.584678275;0.456958705;-0.00972859;0.449750718;0.634826805;0;0.529961567;0.349768479;0;0.517232132;0.238268717;0.299547346;0.121596911;0.521691592;0;0.432676165
[0, -1, 0, 0, 0, 0, 0, 1, 0];0.522117702;0;0.788948493;0.016677685;0.438773056;0.240204943;0.877840921;0;0.361215359;0.549960087;0;0.476853703;0.084341925;0.34894743;0.239967469;0.416480471;0;0.357851983
[0, 1, 0, 0, 0, 0, -1, 0, 0];0.056702027;0;0.502491205;-0.342356766;0.260792827;-0.39043545;0;0.278343247;0.139506271;0.282078765;0;0.306072724;-0.008842431;0.439500818;-0.041819945;0;0.121104016;0.163124243
[0, -1, 0, 0, 0, 0, 1, 0, 0];0.579063361;0;0.456085445;0.357579731;0.767335268;-0.168055977;0;0.342012074;0.334433371;0.422218215;0;0.471476295;0.332632516;0.507896863;0.142229275;0;0.50875292;0.470828415
[0, 1, 0, 0, 0, -1, 0, 0, 0];0.445584236;0;0.159834791;-0.001727214;0.435930607;0;0.21754094;0.330693275;0.327701087;1.000612843;0;1.000348079;0.95686001;1.003290245;0;0.998181628;0.996895327;0.999743866
[0, -1, 0, 0, 0, 1, 0, 0, 0];0.729839012;0;0.069426214;-0.209485823;0.785467005;0;0.702358005;0.186886366;0.444897907;0.398243125;0;0.423095538;0.037260667;0.677915108;0;0.209534813;0.297836662;0.239754239
[0, 1, 0, 0, -1, 0, 0, 0, 0];0.384394721;0;-0.435137666;-0.428711303;0;0.265205583;0.26778002;-0.103068931;0.430103023;-1.230956188;0;-1.209340268;-0.946885343;0;-1.24796888;-1.241531617;-1.24992;-1.245812359
[0, -1, 0, 0, 1, 0, 0, 0, 0];0.982358273;0;0.88425564;0.560995303;0;0.72254768;0.948235558;0.187900991;0.848870975;1.004111822;0;1.004669771;1.003806158;0;1.004202513;1.00068935;0.938123584;1.000961531
[0, 1, 0, -1, 0, 0, 0, 0, 0];0.453616348;0;0.202273824;0;0.491506873;0.139487613;0.780627308;0.019419425;0.546580101;0.376852162;0;0.166532424;0;0.449263264;0.204922205;0.332640098;0.125250095;0.22076655
[0, -1, 0, 1, 0, 0, 0, 0, 0];0.334583653;0;-0.124785722;0;0.77704936;0.603722064;0.589869012;0.292618596;-0.185491845;0.450371247;0;0.316980163;0;0.506802285;0.189278854;0.225097198;0.29942618;0.383130582
[0, 1, -1, 0, 0, 0, 0, 0, 0];-0.272797923;0;0;0.112966925;0.200148792;0.202937052;-0.061802292;0.263146293;0.847700143;-0.054469608;0;0;-0.019586822;0.567203169;0.009120564;0.237928483;0.034524765;0.287934239
[0, -1, 1, 0, 0, 0, 0, 0, 0];0.520163289;0;0;0.470997728;0.850146315;0.605176538;0.818769597;0.79035695;0.801766998;0.359316688;0;0;0.301630671;0.707735236;0.405919533;0.519337085;0.491379554;0.655264282
[1, 0, 0, 0, 0, 0, 0, 0, -1];0;-0.086153905;0.349688927;0.358227604;0.078392186;0.122085007;0.613560437;0.456554088;0;0;0.313502569;0.449197206;0.17089348;0.200592706;0.240045714;0.488808638;0.268760743;0
[-1, 0, 0, 0, 0, 0, 0, 0, 1];0;-0.052972509;0.495373649;0.63566871;0.222190269;0.238079749;0.670109483;0.073268831;0;0;0.120063962;0.447733447;0.193352933;0.173108388;0.204126598;0.492411242;0.208522303;0
[1, 0, 0, 0, 0, 0, 0, -1, 0];0;0.710922637;0.634663171;0.851433043;0.515085545;-0.097088248;0.626953977;0;0.811651538;0;0.53298904;0.503759303;0.438504684;0.53349651;0.0939625;0.572770614;0;0.524772951
[-1, 0, 0, 0, 0, 0, 0, 1, 0];0;0.532864233;0.377141662;-0.215327853;0.285234815;-0.346429764;0.222660776;0;0.157932809;0;0.14320505;0.147073465;0.170829019;0.421126742;-0.11594514;0.342795584;0;0.262056178
[1, 0, 0, 0, 0, 0, -1, 0, 0];0;0.505400762;0.279718764;0.108276505;0.413568549;0.087453536;0;0.436167054;0.611850387;0;0.208969658;0.458700671;-0.036820858;0.489324994;0.048774762;0;0.189890777;0.430802529
[-1, 0, 0, 0, 0, 0, 1, 0, 0];0;0.366482554;0.221545547;-0.443557078;0.532571268;-0.074717141;0;-0.050466339;0.444865495;0;0.317994102;0.461550405;-0.083893867;0.53464215;0.027127034;0;0.17142409;0.474796389
